source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,I0,none,50,0.08,5,99135,34696,46676,46676,74680,1,6.886535373263889,11.268186848958333,47116,1076,1076,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.07695514423878606,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,I-mod,modulate,50,0.08,5,99135,34696,46676,46676,74680,1,6.886535373263889,11.268186848958333,47116,1076,1076,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.07695514423878606,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,I-confirm,confirm,50,0.12,8,99135,34696,46676,46676,74680,1,1.4129709201388891,16.741751302083333,69091,13,161,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.020343505085876273,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,OPS-S1,n/a,50,0.08,5,99135,34696,46676,46676,74680,1,6.886535373263889,11.268186848958333,47116,1076,1076,0.4437385692846423,nan,nan,0.07695514423878606,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,I0,none,50,0.08,5,92810,1798,11966,11966,20832,1,2.7156689453125002,3.5012754991319444,11970,1087,1087,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.14730878186968838,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,I-mod,modulate,50,0.08,5,92810,1798,11966,11966,20832,1,2.7156689453125002,3.5012754991319444,11970,1105,1105,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.14801699716713881,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,I-confirm,confirm,50,0.12,8,92810,1798,11966,11966,20832,1,2.3824321831597226,3.834512261284722,13110,80,204,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.03702954269526507,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,OPS-S1,n/a,50,0.08,5,92810,1798,11966,11966,20832,1,2.7156689453125002,3.5012754991319444,11970,1087,1087,0.43046066369890723,nan,nan,0.14730878186968838,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,I0,none,50,0.08,5,64251,5318,13421,13421,32307,1,6.931450195312499,4.830494249131944,13596,82,82,0.4368999500249875,0.575281803542673,0.0,0.015617191404297851,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,I-mod,modulate,50,0.08,5,64251,5318,13421,13421,32307,1,6.931450195312499,4.830494249131944,13596,82,82,0.4368999500249875,0.575281803542673,0.0,0.015617191404297851,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,I-confirm,confirm,50,0.12,8,64251,5318,13421,13421,32307,0,nan,nan,,0,0,0.4368999500249875,0.575281803542673,0.0,0.001374312843578211,
sddb,50,SDDB,holter_analytic,11.761944444444444,1.7619444444444436,4.761944444444444,8.761944444444444,11.761944444444444,rr_50_clean.npz,OPS-S1,n/a,50,0.08,5,64251,5318,13421,13421,32307,1,6.931450195312499,4.830494249131944,13596,82,82,0.4368999500249875,nan,nan,0.015617191404297851,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,I0,none,50,0.08,5,77929,40699,49980,49980,73939,1,6.974501953124998,15.998553602430556,50061,194,194,0.3941412754815784,0.5772213910188475,0.0,0.012249859734430522,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,I-mod,modulate,50,0.08,5,77929,40699,49980,49980,73939,1,6.974501953124998,15.998553602430556,50061,194,194,0.3941412754815784,0.5772213910188475,0.0,0.012249859734430522,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,I-confirm,confirm,50,0.12,8,77929,40699,49980,49980,73939,0,nan,nan,,0,0,0.3941412754815784,0.5772213910188475,0.0,0.0003740415186085656,
sddb,51,SDDB,holter_analytic,22.973055555555554,12.973055555555554,15.973055555555554,19.973055555555554,22.973055555555554,rr_51_clean.npz,OPS-S1,n/a,50,0.08,5,77929,40699,49980,49980,73939,1,6.974501953124998,15.998553602430556,50061,194,194,0.3941412754815784,nan,nan,0.012249859734430522,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,I0,none,50,0.08,5,118665,46076,61807,61807,98706,1,6.986450737847221,12.659382595486111,61881,21544,21544,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.6320370718266641,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,I-mod,modulate,50,0.08,5,118665,46076,61807,61807,98706,1,6.986450737847221,12.659382595486111,61881,21725,21725,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.6353560022543678,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,I-confirm,confirm,50,0.12,8,118665,46076,61807,61807,98706,1,6.652180989583332,12.99365234375,63652,17827,18304,0.5656568601665727,0.3629845325317803,0.5442419688145782,0.5452439100757718,
sddb,44,SDDB,holter_analytic,19.645833333333332,9.645833333333332,12.645833333333332,16.645833333333332,19.645833333333332,rr_44_clean.npz,OPS-S1,n/a,50,0.08,5,118665,46076,61807,61807,98706,1,6.986450737847221,12.659382595486111,61881,21544,21544,0.5656568601665727,nan,nan,0.6320370718266641,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,I0,none,50,0.08,5,4291,0,220,220,741,1,0.07459444681803386,0.03609888712565104,239,1,1,0.5377132743362832,0.43854473942969524,0.0,0.0,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,I-mod,modulate,50,0.08,5,4291,0,220,220,741,1,0.07685888926188152,0.03383444468180338,224,24,24,0.5377132743362832,0.43854473942969524,0.0,0.0,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,I-confirm,confirm,50,0.12,8,4291,0,220,220,741,0,nan,nan,,0,0,0.5377132743362832,0.43854473942969524,0.0,0.0,
vfdb,418,VFL,too_short,0.1106933339436849,0.0,0.03320800018310547,0.07748533376057942,0.1106933339436849,vfdb_418_clean.npz,OPS-S1,n/a,50,0.08,5,4291,0,220,220,741,1,0.07459444681803386,0.03609888712565104,239,1,1,0.5377132743362832,nan,nan,0.0,
vfdb,419,VFL,too_short,0.011334444681803385,0.0,0.0034003334045410154,0.00793411127726237,0.011334444681803385,vfdb_419_clean.npz,I0,none,50,0.08,5,3881,0,50,19,71,0,nan,nan,,0,0,0.658,0.1717171717171718,0.9565217391304348,0.0,
vfdb,419,VFL,too_short,0.011334444681803385,0.0,0.0034003334045410154,0.00793411127726237,0.011334444681803385,vfdb_419_clean.npz,I-mod,modulate,50,0.08,5,3881,0,50,19,71,0,nan,nan,,0,0,0.658,0.1717171717171718,0.9565217391304348,0.0,
vfdb,419,VFL,too_short,0.011334444681803385,0.0,0.0034003334045410154,0.00793411127726237,0.011334444681803385,vfdb_419_clean.npz,I-confirm,confirm,50,0.12,8,3881,0,50,19,71,0,nan,nan,,0,0,0.658,0.1717171717171718,0.9565217391304348,0.0,
vfdb,419,VFL,too_short,0.011334444681803385,0.0,0.0034003334045410154,0.00793411127726237,0.011334444681803385,vfdb_419_clean.npz,OPS-S1,n/a,50,0.08,5,3881,0,50,19,71,0,nan,nan,,0,0,0.658,nan,nan,0.0,
