record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
16795,nsrdb_16795_clean.npz,False,,R1_hop,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.08,3,mean_delta,,,25,12.0,9.99980685763889,2.308754340277778,1.0,28.800556260743747,
16795,nsrdb_16795_clean.npz,False,,R2_basal_q90,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,,5,percentile,90.0,,1,19.0,9.99980685763889,2.0022591145833335,1.0,45.6008807461776,
16795,nsrdb_16795_clean.npz,False,,R3_basal_mad,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,,5,mad,,2.5,1,11.0,9.99980685763889,2.023587239583333,1.0,26.400509905681773,
16795,nsrdb_16795_clean.npz,False,,R4_combo,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,,3,percentile,90.0,,25,14.0,9.99980685763889,2.2891861979166666,1.0,33.60064897086771,
16795,nsrdb_16795_clean.npz,False,,R5_combo_Ls100,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,100,,3,percentile,90.0,,50,9.0,9.99980685763889,2.277016059027778,1.0,21.600417195557814,
17052,nsrdb_17052_clean.npz,False,,R0_I0_ref,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.08,5,mean_delta,,,1,18.0,9.999793836805555,2.109505208333333,1.0,43.20089064336179,
17052,nsrdb_17052_clean.npz,False,,R1_hop,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.08,3,mean_delta,,,25,7.0,9.999793836805555,4.987350260416667,1.0,16.800346361307362,
17052,nsrdb_17052_clean.npz,False,,R2_basal_q90,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,,5,percentile,90.0,,1,19.0,9.999793836805555,2.109505208333333,1.0,45.600940123548554,
17052,nsrdb_17052_clean.npz,False,,R3_basal_mad,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,,5,mad,,2.5,1,12.0,9.999793836805555,3.662866753472222,1.0,28.800593762241192,
17052,nsrdb_17052_clean.npz,False,,R4_combo,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,,3,percentile,90.0,,25,10.0,9.999793836805555,4.987350260416667,1.0,24.00049480186766,
17052,nsrdb_17052_clean.npz,False,,R5_combo_Ls100,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,100,,3,percentile,90.0,,50,3.0,9.999793836805555,8.67538845486111,1.0,7.200148440560298,
17453,nsrdb_17453_clean.npz,False,,R0_I0_ref,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.08,5,mean_delta,,,1,18.0,9.999845920138888,2.2907703993055555,1.0,43.2006656352561,
17453,nsrdb_17453_clean.npz,False,,R1_hop,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.08,3,mean_delta,,,25,6.0,9.999845920138888,2.4399869791666666,1.0,14.400221878418701,
17453,nsrdb_17453_clean.npz,False,,R2_basal_q90,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,,5,percentile,90.0,,1,19.0,9.999845920138888,2.0825347222222224,1.0,45.60070261499256,
17453,nsrdb_17453_clean.npz,False,,R3_basal_mad,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,,5,mad,,2.5,1,15.0,9.999845920138888,2.430842013888889,1.0,36.000554696046756,
17453,nsrdb_17453_clean.npz,False,,R4_combo,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,,3,percentile,90.0,,25,11.0,9.999845920138888,2.436382378472222,1.0,26.400406777100947,
17453,nsrdb_17453_clean.npz,False,,R5_combo_Ls100,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,100,,3,percentile,90.0,,50,10.0,9.999845920138888,2.4538780381944445,1.0,24.0003697973645,
18177,nsrdb_18177_clean.npz,False,,R0_I0_ref,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.08,5,mean_delta,,,1,18.0,9.999874131944445,2.0423958333333334,1.0,43.20054375684416,
18177,nsrdb_18177_clean.npz,False,,R1_hop,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.08,3,mean_delta,,,25,4.0,9.999874131944445,2.0521983506944443,1.0,9.600120834854257,
18177,nsrdb_18177_clean.npz,False,,R2_basal_q90,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,,5,percentile,90.0,,1,20.0,9.999874131944445,2.0097504340277776,1.0,48.00060417427129,
18177,nsrdb_18177_clean.npz,False,,R3_basal_mad,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,,5,mad,,2.5,1,13.0,9.999874131944445,2.0453559027777777,1.0,31.200392713276337,
18177,nsrdb_18177_clean.npz,False,,R4_combo,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,,3,percentile,90.0,,25,11.0,9.999874131944445,2.0521983506944443,1.0,26.400332295849207,
