source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,77321,34532,45195,45195,71963,1,6.29044704861111,12.6931640625,47794,552,552,0.4461320092214932,0.5670627179760004,0.0,0.011349530058521014,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,77321,34532,45195,45195,71963,1,6.28385525173611,12.699755859375,47820,38,38,0.4461320092214932,0.5670627179760004,0.0,0.12652952651179286,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,77321,34532,45195,45195,71963,1,6.2648621961805535,12.718748914930556,47895,48,48,0.41088256783117577,0.6595559693405056,0.0,0.11092392268132648,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,74428,2979,21274,21274,48664,1,4.506778971354166,3.5248876953125,21430,2349,2349,0.4297889811832514,0.549402598054912,0.006554783296603944,0.17454935864835847,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,74428,2979,21274,21274,48664,1,1.7119878472222219,6.319678819444444,39099,41,41,0.4297889811832514,0.549402598054912,0.006554783296603944,0.17454935864835847,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,74428,2979,21274,21274,48664,1,4.507254503038194,3.5244121636284724,21427,4382,4382,0.4297889811832514,0.549402598054912,0.006554783296603944,0.3021981126744646,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,74428,2979,21274,21274,48664,1,3.683143446180555,4.348523220486111,26601,761,761,0.4297889811832514,0.549402598054912,0.006554783296603944,0.06402215064700231,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,74428,2979,21274,21274,48664,1,1.7382221137152776,6.293444552951389,38924,72,72,0.4297889811832514,0.549402598054912,0.006554783296603944,0.3021981126744646,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,74428,2979,21274,21274,48664,1,4.189326714409722,3.8423399522569444,23424,86,86,0.3937422614002373,0.6477369045600949,0.0,0.41526812454088263,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,99135,34696,46676,46676,74680,1,6.886535373263889,11.268186848958333,47116,1076,1076,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.07695514423878606,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,99135,34696,46676,46676,74680,1,6.8710731336805555,11.283649088541667,47176,8,8,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.07695514423878606,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,99135,34696,46676,46676,74680,1,6.887566189236111,11.267156032986112,47112,1657,1657,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.12006003001500751,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,99135,34696,46676,46676,74680,1,6.46833984375,11.686382378472222,48736,205,205,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.01892612973153243,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,99135,34696,46676,46676,74680,1,6.8710731336805555,11.283649088541667,47176,10,10,0.4437385692846423,0.5513636447853556,0.0002501250625312656,0.12006003001500751,
sddb,45,SDDB,holter_analytic,18.154722222222222,8.154722222222222,11.154722222222222,15.154722222222222,18.154722222222222,rr_45_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,99135,34696,46676,46676,74680,1,5.878935546875001,12.275786675347222,51026,12,12,0.4094551025512757,0.647124488170011,0.0,0.12706353176588295,
sddb,47,SDDB,holter_analytic,6.216944444444445,0.5,3.5,3.2169444444444446,6.216944444444445,rr_47_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,92810,1798,11966,11966,20832,1,2.7156689453125002,3.5012754991319444,11970,1087,1087,0.43046066369890723,0.5543864382391295,0.019830028328611898,0.14730878186968838,
