source_db,record_id,metric,event_hr,event_label,duration_stratum,basal_start,basal_end,approach_start,approach_end,pre_event_hours,total_hours,z_threshold,min_consecutive,theta3,high_threshold,W_TAU,stride,delta,basal_mean_metric,approach_mean_metric,independence,lead_time_h,detection_hr,alarmed,z_at_detection,basal_mean,basal_std,n_search_points
vfdb,605,tau_s,0.45771331787109376,VT,short_15_60min,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,0.4577133357524872,0.5831544399261475,2.0,3.0,0.08,0.65,101,5,-0.037962882153008984,-0.0898507462686567,-0.1278136284216657,independent,0.17306664360894097,0.2846466742621528,1.0,2.013606747962229,-0.0898507462686567,0.0537674935586938,168.0
vfdb,605,var,0.45771331787109376,VT,short_15_60min,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,0.4577133357524872,0.5831544399261475,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,605,ar1,0.45771331787109376,VT,short_15_60min,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,0.4577133357524872,0.5831544399261475,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,605,excess3,0.45771331787109376,VT,short_15_60min,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,0.4577133357524872,0.5831544399261475,2.0,3.0,0.08,0.65,101,5,-0.017221466740967473,0.3467287134485469,0.3295072467075794,independent,nan,nan,0.0,nan,0.3467287134485469,0.037205911730590194,168.0
vfdb,609,tau_s,0.28363888210720484,VFL,short_15_60min,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,0.2836388945579529,0.5829211473464966,2.0,3.0,0.08,0.65,101,5,-0.06882370866194609,0.20236156949028242,0.13353786082833632,independent,0.15090332878960502,0.1327355533175998,1.0,-2.029625163555715,0.20236156949028242,0.036677106071463725,142.0
vfdb,609,var,0.28363888210720484,VFL,short_15_60min,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,0.2836388945579529,0.5829211473464966,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,609,ar1,0.28363888210720484,VFL,short_15_60min,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,0.2836388945579529,0.5829211473464966,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,609,excess3,0.28363888210720484,VFL,short_15_60min,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,0.2836388945579529,0.5829211473464966,2.0,3.0,0.08,0.65,101,5,-0.03300067324462824,0.3712508923496549,0.3382502191050267,independent,0.18607777065700953,0.09756111145019532,1.0,2.5089998247441794,0.3712508923496549,0.020239246149540615,143.0
vfdb,610,tau_s,0.5109611002604166,VT,short_15_60min,0.0,0.1703203667534722,0.3406407335069444,0.5109611002604166,0.51096111536026,0.5830910801887512,2.0,3.0,0.08,0.65,101,5,-0.10281391917993643,0.012903347477604904,-0.08991057170233152,independent,0.3359988742404514,0.17496222601996528,1.0,2.2324372538977006,0.012903347477604904,0.12913454603425742,245.0
vfdb,610,var,0.5109611002604166,VT,short_15_60min,0.0,0.1703203667534722,0.3406407335069444,0.5109611002604166,0.51096111536026,0.5830910801887512,2.0,3.0,0.08,0.65,101,5,-103200.27983376621,171973.26317697612,68772.98334320991,independent,0.31517220391167533,0.19578889634874133,1.0,-2.228815953775802,171973.26317697612,5054.7371972618585,245.0
