source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.12_R5,none,50,0.12,5,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.12_R8,none,50,0.12,8,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.12_R10,none,50,0.12,10,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.12_R12,none,50,0.12,12,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.15_R5,none,50,0.15,5,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.15_R8,none,50,0.15,8,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.15_R10,none,50,0.15,10,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.15_R12,none,50,0.15,12,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.08_R5,none,50,0.08,5,2196,0,364,364,1076,1,0.18631443447536888,0.09732444763183594,374,7,7,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.08_R8,none,50,0.08,8,2196,0,364,364,1076,1,0.18555998908148869,0.09807889302571615,377,4,4,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.08_R10,none,50,0.08,10,2196,0,364,364,1076,1,0.1850777689615885,0.09856111314561632,379,2,2,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.08_R12,none,50,0.08,12,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.10_R5,none,50,0.1,5,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.10_R8,none,50,0.1,8,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.10_R10,none,50,0.1,10,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.10_R12,none,50,0.1,12,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.12_R5,none,50,0.12,5,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.12_R8,none,50,0.12,8,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.12_R10,none,50,0.12,10,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.12_R12,none,50,0.12,12,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
vfdb,609,VFL,short_15_60min,0.28363888210720484,0.0,0.09454629403573495,0.1890925880714699,0.28363888210720484,vfdb_609_clean.npz,I0_dS0.15_R5,none,50,0.15,5,2196,0,364,364,1076,0,nan,nan,,0,0,0.4467820728291316,0.5734516028633675,0.0,0.0,
